lang,split,n_train,n_train_hours,greedy_val_wer,greedy_val_cer,greedy_test_wer,greedy_test_cer,lm_test_wer,lm_test_cer,is_curated,hours_label
hch,curated-3h,,2.99488,0.8203488372093023,0.18620842431722523,0.8165997322623829,0.1995660484579222,0.6755912539045069,0.18758072015291627,1,3h
hch,curated-full,,3.25534,0.7523255813953489,0.16994208677489794,0.7652833556448014,0.18603089321692412,0.6006247211066488,0.16603812574262541,1,full
kcn,1h,,0.99677,0.7042899747648543,0.2186801727990466,0.8340783591901131,0.3518997302158273,0.602682093084407,0.35459757194244607,0,1h
kcn,2h,,1.99625,0.9993117687543015,0.8545111475247034,0.9994740993952143,0.8828757875787578,1.0620562713647121,0.9142101710171017,0,2h
kcn,3h,,2.99468,0.6540490938288598,0.2032871542777695,0.7922692611096502,0.3372524752475248,0.5700762555876939,0.3388276327632763,0,3h
kcn,5h,,4.99982,0.4702913512273457,0.15179502457917474,0.654483302655798,0.29564385411976585,0.514593741782803,0.2840499774876182,0,5h
kcn,full,1395.0,7.2125,0.4211975223675155,0.1400268136451661,0.6037338942939784,0.28162989644304365,0.48382855640283984,0.2659837910850968,0,full
kcn,curated-1h,,0.99908,1.0130763936682725,0.7764039922538358,1.0410202471732843,0.8016989198919892,1.113857480936103,0.913028802880288,1,1h
kcn,curated-2h,,1.99871,0.5675613672860748,0.18774517106112518,0.7223244806731528,0.3225461503827105,0.5490402313962661,0.30870103556956324,1,2h
kcn,curated-3h,,2.99564,0.5044735030970406,0.17279904662594964,0.6820930844070471,0.3074065736154885,0.5295819090191953,0.2866951823502927,1,3h
kcn,curated-full,,3.64547,0.5377380133058041,0.17592730522866082,0.7215356297659742,0.3129221071589374,0.5414146726268735,0.29406798739306617,1,full
sco,1h,,0.9877,0.4301842935414245,0.1710014543240775,0.4114062880818913,0.15930595492639288,0.36473312210577624,0.16950527169505272,0,1h
sco,2h,,1.99904,0.4175659970114561,0.1725910643622958,0.40068242749207894,0.1556194548895279,0.3345113331708506,0.15726609157266092,0,2h
sco,3h,,2.94472,0.3870164369915325,0.15388778029559982,0.3393858152571289,0.12632406792990736,0.28174506458688764,0.12428420457617538,0,3h
sco,5h,352.0,4.9945,0.3886767391665283,0.15246727770825583,0.34340726297830854,0.13077244464105778,0.2879600292468925,0.13163262798299294,0,5h
sco,full,,6.35408,0.3843599535115391,0.1532113504921027,0.34584450402144773,0.1288063112880631,0.283572995369242,0.12782324461156577,0,full
sco,curated-1h,,0.99039,1.0,0.9263029729089863,1.0,0.9541645162083118,0.9739215208384109,0.9267369559340363,1,1h
sco,curated-2h,,1.98824,0.40909845591897726,0.1623431528393141,0.3923958079454058,0.148934601489346,0.3347550572751645,0.1540711248740446,1,2h
sco,curated-3h,,2.99434,0.9938568819525153,0.9660432238644434,0.9981720692176457,0.9617832829511661,0.964781866926639,0.9441126594411265,1,3h
sco,curated-full,,3.30509,0.3958160385190105,0.16217404538843982,0.3632707774798928,0.14335569810022364,0.3137947843041677,0.15652879156528793,1,full
